circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.235987755982988 counts: {'0000': 578, '0001': 88, '0010': 1486, '0011': 81, '0100': 189, '0101': 42, '0110': 209, '0111': 58, '1000': 639, '1001': 142, '1010': 3404, '1011': 236, '1100': 208, '1101': 106, '1110': 431, '1111': 103}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.497787143782138 counts: {'0000': 461, '0001': 64, '0010': 1780, '0011': 86, '0100': 139, '0101': 22, '0110': 260, '0111': 48, '1000': 509, '1001': 134, '1010': 3454, '1011': 240, '1100': 182, '1101': 40, '1110': 518, '1111': 63}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.759586531581287 counts: {'0000': 408, '0001': 102, '0010': 1694, '0011': 111, '0100': 149, '0101': 40, '0110': 349, '0111': 39, '1000': 456, '1001': 106, '1010': 3258, '1011': 246, '1100': 298, '1101': 108, '1110': 570, '1111': 66}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:6.021385919380436 counts: {'0000': 441, '0001': 86, '0010': 1204, '0011': 138, '0100': 121, '0101': 30, '0110': 222, '0111': 48, '1000': 522, '1001': 133, '1010': 4086, '1011': 393, '1100': 136, '1101': 48, '1110': 317, '1111': 75}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.0 counts: {'0000': 516, '0001': 154, '0010': 1092, '0011': 165, '0100': 134, '0101': 36, '0110': 208, '0111': 79, '1000': 482, '1001': 138, '1010': 3702, '1011': 415, '1100': 210, '1101': 106, '1110': 441, '1111': 122}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.2617993877991494 counts: {'0000': 402, '0001': 154, '0010': 1105, '0011': 99, '0100': 170, '0101': 57, '0110': 275, '0111': 40, '1000': 628, '1001': 262, '1010': 3329, '1011': 292, '1100': 246, '1101': 162, '1110': 699, '1111': 80}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.5235987755982988 counts: {'0000': 480, '0001': 71, '0010': 1495, '0011': 163, '0100': 198, '0101': 43, '0110': 233, '0111': 70, '1000': 619, '1001': 98, '1010': 2960, '1011': 373, '1100': 374, '1101': 73, '1110': 649, '1111': 101}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.7853981633974483 counts: {'0000': 222, '0001': 52, '0010': 723, '0011': 148, '0100': 163, '0101': 26, '0110': 290, '0111': 56, '1000': 550, '1001': 123, '1010': 3990, '1011': 403, '1100': 315, '1101': 55, '1110': 823, '1111': 61}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.0471975511965976 counts: {'0000': 418, '0001': 91, '0010': 1053, '0011': 126, '0100': 124, '0101': 31, '0110': 351, '0111': 74, '1000': 533, '1001': 166, '1010': 3712, '1011': 468, '1100': 203, '1101': 61, '1110': 487, '1111': 102}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.308996938995747 counts: {'0000': 569, '0001': 116, '0010': 1169, '0011': 106, '0100': 164, '0101': 43, '0110': 163, '0111': 67, '1000': 844, '1001': 213, '1010': 3413, '1011': 349, '1100': 246, '1101': 73, '1110': 402, '1111': 63}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.5707963267948966 counts: {'0000': 420, '0001': 127, '0010': 1157, '0011': 147, '0100': 177, '0101': 48, '0110': 358, '0111': 54, '1000': 456, '1001': 161, '1010': 3405, '1011': 314, '1100': 257, '1101': 151, '1110': 666, '1111': 102}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.832595714594046 counts: {'0000': 417, '0001': 138, '0010': 1104, '0011': 142, '0100': 148, '0101': 59, '0110': 385, '0111': 69, '1000': 445, '1001': 130, '1010': 3452, '1011': 330, '1100': 255, '1101': 124, '1110': 735, '1111': 67}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.0943951023931953 counts: {'0000': 454, '0001': 95, '0010': 1600, '0011': 111, '0100': 166, '0101': 38, '0110': 323, '0111': 94, '1000': 526, '1001': 119, '1010': 3088, '1011': 319, '1100': 267, '1101': 53, '1110': 665, '1111': 82}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.356194490192345 counts: {'0000': 497, '0001': 114, '0010': 1037, '0011': 143, '0100': 170, '0101': 42, '0110': 227, '0111': 72, '1000': 566, '1001': 193, '1010': 3655, '1011': 451, '1100': 290, '1101': 91, '1110': 371, '1111': 81}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.617993877991494 counts: {'0000': 419, '0001': 67, '0010': 1010, '0011': 126, '0100': 143, '0101': 32, '0110': 308, '0111': 69, '1000': 620, '1001': 134, '1010': 3781, '1011': 505, '1100': 174, '1101': 34, '1110': 480, '1111': 98}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.8797932657906435 counts: {'0000': 383, '0001': 101, '0010': 702, '0011': 130, '0100': 200, '0101': 47, '0110': 251, '0111': 72, '1000': 975, '1001': 186, '1010': 3294, '1011': 495, '1100': 373, '1101': 77, '1110': 600, '1111': 114}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.141592653589793 counts: {'0000': 384, '0001': 89, '0010': 1461, '0011': 160, '0100': 167, '0101': 44, '0110': 365, '0111': 55, '1000': 432, '1001': 100, '1010': 3385, '1011': 261, '1100': 287, '1101': 86, '1110': 643, '1111': 81}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.4033920413889422 counts: {'0000': 484, '0001': 79, '0010': 1687, '0011': 94, '0100': 130, '0101': 27, '0110': 313, '0111': 66, '1000': 491, '1001': 118, '1010': 3156, '1011': 306, '1100': 253, '1101': 51, '1110': 657, '1111': 88}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.665191429188092 counts: {'0000': 394, '0001': 107, '0010': 738, '0011': 143, '0100': 190, '0101': 39, '0110': 265, '0111': 66, '1000': 846, '1001': 184, '1010': 3287, '1011': 488, '1100': 377, '1101': 83, '1110': 664, '1111': 129}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.926990816987241 counts: {'0000': 532, '0001': 135, '0010': 1115, '0011': 186, '0100': 146, '0101': 32, '0110': 203, '0111': 70, '1000': 532, '1001': 157, '1010': 3581, '1011': 495, '1100': 270, '1101': 82, '1110': 390, '1111': 74}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.1887902047863905 counts: {'0000': 571, '0001': 129, '0010': 1209, '0011': 121, '0100': 185, '0101': 43, '0110': 182, '0111': 56, '1000': 774, '1001': 185, '1010': 3409, '1011': 346, '1100': 289, '1101': 73, '1110': 372, '1111': 56}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.45058959258554 counts: {'0000': 388, '0001': 93, '0010': 1110, '0011': 139, '0100': 149, '0101': 33, '0110': 288, '0111': 65, '1000': 575, '1001': 112, '1010': 3779, '1011': 472, '1100': 247, '1101': 43, '1110': 415, '1111': 92}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.71238898038469 counts: {'0000': 426, '0001': 86, '0010': 1114, '0011': 150, '0100': 117, '0101': 25, '0110': 279, '0111': 65, '1000': 541, '1001': 145, '1010': 3845, '1011': 487, '1100': 182, '1101': 50, '1110': 414, '1111': 74}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.974188368183839 counts: {'0000': 357, '0001': 93, '0010': 964, '0011': 155, '0100': 171, '0101': 30, '0110': 412, '0111': 93, '1000': 528, '1001': 146, '1010': 3631, '1011': 494, '1100': 247, '1101': 54, '1110': 513, '1111': 112}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:5.235987755982988 counts: {'0000': 393, '0001': 88, '0010': 1164, '0011': 144, '0100': 121, '0101': 40, '0110': 375, '0111': 72, '1000': 528, '1001': 153, '1010': 3587, '1011': 445, '1100': 202, '1101': 42, '1110': 559, '1111': 87}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:5.497787143782138 counts: {'0000': 396, '0001': 108, '0010': 1234, '0011': 165, '0100': 133, '0101': 35, '0110': 376, '0111': 61, '1000': 546, '1001': 152, '1010': 3479, '1011': 450, '1100': 190, '1101': 51, '1110': 527, '1111': 97}
