circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.235987755982988 counts: {'0000': 532, '0001': 139, '0010': 2582, '0011': 222, '0100': 554, '0101': 66, '0110': 499, '0111': 139, '1000': 396, '1001': 151, '1010': 1392, '1011': 345, '1100': 406, '1101': 73, '1110': 357, '1111': 147}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.497787143782138 counts: {'0000': 539, '0001': 150, '0010': 2773, '0011': 238, '0100': 258, '0101': 61, '0110': 550, '0111': 133, '1000': 371, '1001': 162, '1010': 1594, '1011': 332, '1100': 215, '1101': 76, '1110': 407, '1111': 141}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:5.759586531581287 counts: {'0000': 951, '0001': 90, '0010': 2739, '0011': 147, '0100': 325, '0101': 56, '0110': 1004, '0111': 65, '1000': 361, '1001': 135, '1010': 1158, '1011': 168, '1100': 164, '1101': 43, '1110': 518, '1111': 76}
circuit: inverseQFT4 qubit: 0 theta: 0.0 phi:6.021385919380436 counts: {'0000': 502, '0001': 149, '0010': 2386, '0011': 235, '0100': 187, '0101': 56, '0110': 735, '0111': 105, '1000': 365, '1001': 118, '1010': 2352, '1011': 192, '1100': 148, '1101': 45, '1110': 309, '1111': 116}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.0 counts: {'0000': 808, '0001': 145, '0010': 2956, '0011': 183, '0100': 375, '0101': 77, '0110': 671, '0111': 129, '1000': 363, '1001': 136, '1010': 1058, '1011': 129, '1100': 203, '1101': 82, '1110': 592, '1111': 93}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.2617993877991494 counts: {'0000': 469, '0001': 405, '0010': 1518, '0011': 314, '0100': 223, '0101': 144, '0110': 642, '0111': 198, '1000': 471, '1001': 332, '1010': 1784, '1011': 258, '1100': 228, '1101': 130, '1110': 723, '1111': 161}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.5235987755982988 counts: {'0000': 511, '0001': 160, '0010': 2022, '0011': 293, '0100': 207, '0101': 59, '0110': 772, '0111': 146, '1000': 380, '1001': 121, '1010': 2421, '1011': 267, '1100': 136, '1101': 57, '1110': 352, '1111': 96}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:0.7853981633974483 counts: {'0000': 692, '0001': 156, '0010': 2979, '0011': 243, '0100': 397, '0101': 74, '0110': 835, '0111': 78, '1000': 384, '1001': 148, '1010': 969, '1011': 149, '1100': 226, '1101': 88, '1110': 493, '1111': 89}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.0471975511965976 counts: {'0000': 586, '0001': 278, '0010': 2291, '0011': 221, '0100': 160, '0101': 65, '0110': 644, '0111': 196, '1000': 428, '1001': 189, '1010': 1946, '1011': 176, '1100': 140, '1101': 57, '1110': 502, '1111': 121}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.308996938995747 counts: {'0000': 430, '0001': 122, '0010': 2706, '0011': 251, '0100': 383, '0101': 75, '0110': 504, '0111': 126, '1000': 314, '1001': 122, '1010': 1633, '1011': 298, '1100': 335, '1101': 95, '1110': 450, '1111': 156}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.5707963267948966 counts: {'0000': 677, '0001': 164, '0010': 2363, '0011': 239, '0100': 274, '0101': 88, '0110': 750, '0111': 115, '1000': 274, '1001': 120, '1010': 1763, '1011': 275, '1100': 194, '1101': 80, '1110': 513, '1111': 111}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:1.832595714594046 counts: {'0000': 412, '0001': 189, '0010': 2257, '0011': 278, '0100': 268, '0101': 66, '0110': 1097, '0111': 131, '1000': 280, '1001': 158, '1010': 1806, '1011': 192, '1100': 201, '1101': 80, '1110': 468, '1111': 117}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.0943951023931953 counts: {'0000': 466, '0001': 167, '0010': 2076, '0011': 254, '0100': 255, '0101': 63, '0110': 1144, '0111': 175, '1000': 273, '1001': 121, '1010': 1943, '1011': 223, '1100': 171, '1101': 69, '1110': 485, '1111': 115}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.356194490192345 counts: {'0000': 555, '0001': 237, '0010': 2202, '0011': 414, '0100': 229, '0101': 118, '0110': 453, '0111': 284, '1000': 457, '1001': 184, '1010': 1606, '1011': 308, '1100': 243, '1101': 88, '1110': 403, '1111': 219}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.617993877991494 counts: {'0000': 620, '0001': 206, '0010': 1963, '0011': 288, '0100': 332, '0101': 100, '0110': 691, '0111': 158, '1000': 489, '1001': 155, '1010': 1651, '1011': 286, '1100': 234, '1101': 95, '1110': 585, '1111': 147}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:2.8797932657906435 counts: {'0000': 406, '0001': 150, '0010': 1878, '0011': 354, '0100': 273, '0101': 90, '0110': 1166, '0111': 261, '1000': 273, '1001': 101, '1010': 1865, '1011': 244, '1100': 181, '1101': 87, '1110': 520, '1111': 151}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.141592653589793 counts: {'0000': 778, '0001': 149, '0010': 2209, '0011': 247, '0100': 342, '0101': 77, '0110': 756, '0111': 145, '1000': 304, '1001': 105, '1010': 1680, '1011': 234, '1100': 214, '1101': 75, '1110': 595, '1111': 90}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.4033920413889422 counts: {'0000': 446, '0001': 419, '0010': 1523, '0011': 349, '0100': 295, '0101': 226, '0110': 599, '0111': 194, '1000': 416, '1001': 348, '1010': 1553, '1011': 251, '1100': 360, '1101': 147, '1110': 703, '1111': 171}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.665191429188092 counts: {'0000': 474, '0001': 188, '0010': 1891, '0011': 288, '0100': 245, '0101': 68, '0110': 1016, '0111': 139, '1000': 300, '1001': 132, '1010': 2163, '1011': 263, '1100': 140, '1101': 78, '1110': 475, '1111': 140}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:3.926990816987241 counts: {'0000': 664, '0001': 90, '0010': 2396, '0011': 175, '0100': 453, '0101': 75, '0110': 1258, '0111': 158, '1000': 243, '1001': 139, '1010': 907, '1011': 180, '1100': 252, '1101': 54, '1110': 839, '1111': 117}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.1887902047863905 counts: {'0000': 463, '0001': 202, '0010': 1647, '0011': 342, '0100': 342, '0101': 146, '0110': 1173, '0111': 345, '1000': 271, '1001': 91, '1010': 1614, '1011': 250, '1100': 171, '1101': 89, '1110': 678, '1111': 176}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.45058959258554 counts: {'0000': 481, '0001': 163, '0010': 2203, '0011': 283, '0100': 259, '0101': 63, '0110': 970, '0111': 121, '1000': 285, '1001': 139, '1010': 2017, '1011': 249, '1100': 171, '1101': 71, '1110': 424, '1111': 101}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.71238898038469 counts: {'0000': 357, '0001': 566, '0010': 1213, '0011': 345, '0100': 228, '0101': 248, '0110': 623, '0111': 260, '1000': 414, '1001': 479, '1010': 1706, '1011': 358, '1100': 211, '1101': 192, '1110': 638, '1111': 162}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:4.974188368183839 counts: {'0000': 624, '0001': 209, '0010': 2004, '0011': 173, '0100': 269, '0101': 95, '0110': 790, '0111': 149, '1000': 450, '1001': 210, '1010': 1813, '1011': 229, '1100': 242, '1101': 108, '1110': 499, '1111': 136}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:5.235987755982988 counts: {'0000': 462, '0001': 395, '0010': 1554, '0011': 263, '0100': 331, '0101': 209, '0110': 561, '0111': 185, '1000': 350, '1001': 324, '1010': 1826, '1011': 298, '1100': 290, '1101': 138, '1110': 639, '1111': 175}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:5.497787143782138 counts: {'0000': 550, '0001': 156, '0010': 2134, '0011': 206, '0100': 316, '0101': 86, '0110': 1126, '0111': 149, '1000': 280, '1001': 107, '1010': 1594, '1011': 275, '1100': 179, '1101': 107, '1110': 578, '1111': 157}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:5.759586531581287 counts: {'0000': 628, '0001': 271, '0010': 2082, '0011': 318, '0100': 329, '0101': 111, '0110': 503, '0111': 170, '1000': 427, '1001': 216, '1010': 1626, '1011': 228, '1100': 354, '1101': 128, '1110': 448, '1111': 161}
circuit: inverseQFT4 qubit: 0 theta: 0.2617993877991494 phi:6.021385919380436 counts: {'0000': 685, '0001': 253, '0010': 2012, '0011': 511, '0100': 228, '0101': 127, '0110': 681, '0111': 160, '1000': 272, '1001': 173, '1010': 1724, '1011': 268, '1100': 170, '1101': 97, '1110': 532, '1111': 107}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:0.0 counts: {'0000': 408, '0001': 220, '0010': 1550, '0011': 370, '0100': 307, '0101': 158, '0110': 1252, '0111': 494, '1000': 258, '1001': 104, '1010': 1486, '1011': 321, '1100': 169, '1101': 97, '1110': 605, '1111': 201}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:0.2617993877991494 counts: {'0000': 718, '0001': 211, '0010': 1575, '0011': 303, '0100': 378, '0101': 109, '0110': 501, '0111': 154, '1000': 614, '1001': 212, '1010': 1981, '1011': 297, '1100': 288, '1101': 90, '1110': 443, '1111': 126}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:0.5235987755982988 counts: {'0000': 495, '0001': 308, '0010': 1373, '0011': 303, '0100': 362, '0101': 92, '0110': 417, '0111': 184, '1000': 617, '1001': 206, '1010': 2205, '1011': 343, '1100': 336, '1101': 96, '1110': 509, '1111': 154}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:0.7853981633974483 counts: {'0000': 459, '0001': 605, '0010': 1398, '0011': 501, '0100': 292, '0101': 233, '0110': 497, '0111': 275, '1000': 394, '1001': 440, '1010': 1307, '1011': 395, '1100': 290, '1101': 186, '1110': 555, '1111': 173}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:1.0471975511965976 counts: {'0000': 379, '0001': 487, '0010': 1238, '0011': 504, '0100': 255, '0101': 231, '0110': 618, '0111': 308, '1000': 324, '1001': 455, '1010': 1415, '1011': 480, '1100': 222, '1101': 217, '1110': 635, '1111': 232}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:1.308996938995747 counts: {'0000': 365, '0001': 554, '0010': 1236, '0011': 501, '0100': 192, '0101': 218, '0110': 576, '0111': 320, '1000': 395, '1001': 479, '1010': 1454, '1011': 528, '1100': 190, '1101': 177, '1110': 571, '1111': 244}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:1.5707963267948966 counts: {'0000': 447, '0001': 447, '0010': 1695, '0011': 428, '0100': 342, '0101': 269, '0110': 571, '0111': 233, '1000': 381, '1001': 289, '1010': 1236, '1011': 326, '1100': 332, '1101': 188, '1110': 629, '1111': 187}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:1.832595714594046 counts: {'0000': 716, '0001': 132, '0010': 2374, '0011': 294, '0100': 419, '0101': 73, '0110': 1215, '0111': 228, '1000': 244, '1001': 144, '1010': 775, '1011': 196, '1100': 199, '1101': 85, '1110': 710, '1111': 196}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:2.0943951023931953 counts: {'0000': 584, '0001': 381, '0010': 1890, '0011': 726, '0100': 345, '0101': 160, '0110': 385, '0111': 347, '1000': 444, '1001': 218, '1010': 1144, '1011': 510, '1100': 260, '1101': 107, '1110': 312, '1111': 187}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:2.356194490192345 counts: {'0000': 658, '0001': 262, '0010': 1720, '0011': 358, '0100': 388, '0101': 194, '0110': 665, '0111': 188, '1000': 399, '1001': 191, '1010': 1439, '1011': 265, '1100': 259, '1101': 138, '1110': 709, '1111': 167}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:2.617993877991494 counts: {'0000': 471, '0001': 219, '0010': 1900, '0011': 299, '0100': 307, '0101': 119, '0110': 1241, '0111': 237, '1000': 261, '1001': 114, '1010': 1585, '1011': 342, '1100': 198, '1101': 98, '1110': 456, '1111': 153}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:2.8797932657906435 counts: {'0000': 399, '0001': 222, '0010': 2022, '0011': 443, '0100': 226, '0101': 81, '0110': 1042, '0111': 291, '1000': 270, '1001': 118, '1010': 1792, '1011': 296, '1100': 133, '1101': 104, '1110': 403, '1111': 158}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:3.141592653589793 counts: {'0000': 345, '0001': 367, '0010': 1963, '0011': 692, '0100': 247, '0101': 154, '0110': 354, '0111': 362, '1000': 320, '1001': 245, '1010': 1478, '1011': 619, '1100': 213, '1101': 92, '1110': 318, '1111': 231}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:3.4033920413889422 counts: {'0000': 436, '0001': 160, '0010': 2612, '0011': 446, '0100': 362, '0101': 119, '0110': 580, '0111': 261, '1000': 464, '1001': 196, '1010': 1337, '1011': 290, '1100': 214, '1101': 104, '1110': 295, '1111': 124}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:3.665191429188092 counts: {'0000': 462, '0001': 599, '0010': 1547, '0011': 540, '0100': 228, '0101': 271, '0110': 569, '0111': 289, '1000': 319, '1001': 368, '1010': 1258, '1011': 330, '1100': 188, '1101': 155, '1110': 699, '1111': 178}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:3.926990816987241 counts: {'0000': 458, '0001': 110, '0010': 2355, '0011': 255, '0100': 439, '0101': 97, '0110': 1325, '0111': 313, '1000': 377, '1001': 140, '1010': 1034, '1011': 163, '1100': 175, '1101': 80, '1110': 597, '1111': 82}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:4.1887902047863905 counts: {'0000': 664, '0001': 168, '0010': 2349, '0011': 349, '0100': 566, '0101': 119, '0110': 551, '0111': 122, '1000': 411, '1001': 160, '1010': 1234, '1011': 282, '1100': 389, '1101': 77, '1110': 409, '1111': 150}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:4.45058959258554 counts: {'0000': 653, '0001': 346, '0010': 2109, '0011': 449, '0100': 280, '0101': 148, '0110': 748, '0111': 148, '1000': 331, '1001': 226, '1010': 1379, '1011': 407, '1100': 167, '1101': 98, '1110': 395, '1111': 116}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:4.71238898038469 counts: {'0000': 582, '0001': 306, '0010': 2589, '0011': 382, '0100': 110, '0101': 82, '0110': 566, '0111': 246, '1000': 402, '1001': 174, '1010': 1548, '1011': 195, '1100': 152, '1101': 88, '1110': 419, '1111': 159}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:4.974188368183839 counts: {'0000': 397, '0001': 213, '0010': 1630, '0011': 506, '0100': 260, '0101': 155, '0110': 443, '0111': 312, '1000': 465, '1001': 214, '1010': 1791, '1011': 546, '1100': 250, '1101': 139, '1110': 427, '1111': 252}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:5.235987755982988 counts: {'0000': 618, '0001': 306, '0010': 2498, '0011': 438, '0100': 118, '0101': 72, '0110': 632, '0111': 246, '1000': 398, '1001': 150, '1010': 1550, '1011': 190, '1100': 124, '1101': 78, '1110': 430, '1111': 152}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:5.497787143782138 counts: {'0000': 465, '0001': 226, '0010': 2000, '0011': 279, '0100': 336, '0101': 92, '0110': 1055, '0111': 148, '1000': 246, '1001': 101, '1010': 1779, '1011': 389, '1100': 206, '1101': 74, '1110': 503, '1111': 101}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:5.759586531581287 counts: {'0000': 481, '0001': 209, '0010': 2073, '0011': 282, '0100': 298, '0101': 101, '0110': 1018, '0111': 169, '1000': 259, '1001': 105, '1010': 1777, '1011': 385, '1100': 204, '1101': 78, '1110': 441, '1111': 120}
circuit: inverseQFT4 qubit: 0 theta: 0.5235987755982988 phi:6.021385919380436 counts: {'0000': 602, '0001': 183, '0010': 1695, '0011': 186, '0100': 225, '0101': 87, '0110': 592, '0111': 157, '1000': 496, '1001': 242, '1010': 2252, '1011': 309, '1100': 171, '1101': 99, '1110': 553, '1111': 151}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:0.0 counts: {'0000': 747, '0001': 225, '0010': 2297, '0011': 543, '0100': 213, '0101': 82, '0110': 601, '0111': 151, '1000': 288, '1001': 124, '1010': 1514, '1011': 426, '1100': 195, '1101': 77, '1110': 379, '1111': 138}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:0.2617993877991494 counts: {'0000': 700, '0001': 399, '0010': 1946, '0011': 594, '0100': 272, '0101': 154, '0110': 660, '0111': 185, '1000': 384, '1001': 208, '1010': 1102, '1011': 461, '1100': 212, '1101': 137, '1110': 392, '1111': 194}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:0.5235987755982988 counts: {'0000': 537, '0001': 166, '0010': 2407, '0011': 523, '0100': 245, '0101': 92, '0110': 1036, '0111': 296, '1000': 188, '1001': 156, '1010': 941, '1011': 284, '1100': 139, '1101': 85, '1110': 669, '1111': 236}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:0.7853981633974483 counts: {'0000': 488, '0001': 298, '0010': 1484, '0011': 425, '0100': 299, '0101': 181, '0110': 692, '0111': 303, '1000': 307, '1001': 255, '1010': 1626, '1011': 452, '1100': 204, '1101': 126, '1110': 629, '1111': 231}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:1.0471975511965976 counts: {'0000': 384, '0001': 283, '0010': 1772, '0011': 422, '0100': 331, '0101': 96, '0110': 1121, '0111': 254, '1000': 210, '1001': 137, '1010': 1479, '1011': 518, '1100': 220, '1101': 93, '1110': 494, '1111': 186}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:1.308996938995747 counts: {'0000': 523, '0001': 359, '0010': 1343, '0011': 674, '0100': 230, '0101': 163, '0110': 330, '0111': 352, '1000': 494, '1001': 298, '1010': 1442, '1011': 874, '1100': 213, '1101': 141, '1110': 310, '1111': 254}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:1.5707963267948966 counts: {'0000': 582, '0001': 230, '0010': 2214, '0011': 547, '0100': 301, '0101': 171, '0110': 487, '0111': 337, '1000': 420, '1001': 243, '1010': 1317, '1011': 453, '1100': 153, '1101': 99, '1110': 252, '1111': 194}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:1.832595714594046 counts: {'0000': 1087, '0001': 632, '0010': 503, '0011': 244, '0100': 390, '0101': 283, '0110': 278, '0111': 209, '1000': 1350, '1001': 653, '1010': 786, '1011': 309, '1100': 522, '1101': 249, '1110': 335, '1111': 170}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:2.0943951023931953 counts: {'0000': 563, '0001': 181, '0010': 2344, '0011': 497, '0100': 363, '0101': 130, '0110': 886, '0111': 232, '1000': 186, '1001': 132, '1010': 832, '1011': 277, '1100': 203, '1101': 106, '1110': 842, '1111': 226}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:2.356194490192345 counts: {'0000': 727, '0001': 181, '0010': 2168, '0011': 456, '0100': 361, '0101': 124, '0110': 1056, '0111': 322, '1000': 264, '1001': 200, '1010': 811, '1011': 249, '1100': 166, '1101': 97, '1110': 590, '1111': 228}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:2.617993877991494 counts: {'0000': 330, '0001': 289, '0010': 1326, '0011': 491, '0100': 345, '0101': 168, '0110': 1221, '0111': 462, '1000': 224, '1001': 156, '1010': 1399, '1011': 525, '1100': 178, '1101': 117, '1110': 565, '1111': 204}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:2.8797932657906435 counts: {'0000': 363, '0001': 204, '0010': 1335, '0011': 299, '0100': 424, '0101': 134, '0110': 1964, '0111': 373, '1000': 193, '1001': 111, '1010': 1013, '1011': 272, '1100': 204, '1101': 94, '1110': 800, '1111': 217}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:3.141592653589793 counts: {'0000': 368, '0001': 296, '0010': 1668, '0011': 536, '0100': 290, '0101': 162, '0110': 1157, '0111': 438, '1000': 236, '1001': 155, '1010': 1150, '1011': 469, '1100': 208, '1101': 102, '1110': 522, '1111': 243}
circuit: inverseQFT4 qubit: 0 theta: 0.7853981633974483 phi:3.4033920413889422 counts: {'0000': 511, '0001': 341, '0010': 1581, '0011': 496, '0100': 340, '0101': 177, '0110': 629, '0111': 354, '1000': 357, '1001': 304, '1010': 1282, '1011': 415, '1100': 293, '1101': 203, '1110': 499, '1111': 218}
